cve_inegi,NOM_ENT,NOM_MUN,Pnat,HOMP1000,IDH
1001,Aguascalientes,Aguascalientes,0.762874214,0.065332617,0.804
1002,Aguascalientes,Asientos,0.87544629,0.019403912,0.665
1003,Aguascalientes,Calvillo,0.864051502,0.034334764,0.664
1004,Aguascalientes,Cosío,0.911470588,0.117647059,0.699
1005,Aguascalientes,Jesús María,0.80317712,0.053875578,0.742
1006,Aguascalientes,Pabellón de Arteaga,0.898438484,0.041976241,0.744
1007,Aguascalientes,Rincón de Romos,0.902752358,0.034862034,0.733
1008,Aguascalientes,San José de Gracia,0.958752094,0,0.708
1009,Aguascalientes,Tepezalá,0.932710696,0.133422282,0.678
1010,Aguascalientes,El Llano,0.922121517,0.095909461,0.652
1011,Aguascalientes,San Francisco de los Romo,0.807006791,0.016129813,0.733
2001,Baja California,Ensenada,0.612423869,0.885520057,0.755
2002,Baja California,Mexicali,0.676545449,0.126691764,0.791
2003,Baja California,Tecate,0.55895426,1.512357064,0.767
2004,Baja California,Tijuana,0.503093591,1.100116878,0.786
2005,Baja California,Playas de Rosarito,0.490125305,0.780203326,0.756
3001,Baja California Sur,Comondú,0.764903247,0.082168143,0.736
3002,Baja California Sur,Mulegé,0.65186967,0.374871138,0.693
3003,Baja California Sur,La Paz,0.70969508,0.044483834,0.825
3008,Baja California Sur,Los Cabos,0.431974504,0.071202554,0.798
3009,Baja California Sur,Loreto,0.753046754,0.110791048,0.728
4001,Campeche,Calkiní,0.909440843,0.016882766,0.724
4002,Campeche,Campeche,0.843316546,0.037405169,0.794
4003,Campeche,Carmen,0.660117744,0.092427013,0.783
4004,Campeche,Champotón,0.774785723,0.038377894,0.689
4005,Campeche,Hecelchakán,0.930851897,0,0.729
4006,Campeche,Hopelchén,0.859824395,0.071191267,0.646
4007,Campeche,Palizada,0.730853392,0.115167569,0.678
4008,Campeche,Tenabo,0.926563046,0,0.69
4009,Campeche,Escárcega,0.741134456,0.150192747,0.671
4010,Campeche,Calakmul,0.542567951,0.094595447,0.597
4011,Campeche,Candelaria,0.651098843,0.255792637,0.634
5001,Coahuila de Zaragoza,Abasolo,0.951076321,0,0.703
5002,Coahuila de Zaragoza,Acuña,0.768573146,0.061327871,0.754
5003,Coahuila de Zaragoza,Allende,0.928608605,0.173490632,0.746
5004,Coahuila de Zaragoza,Arteaga,0.86483197,0,0.68
5005,Coahuila de Zaragoza,Candela,0.80584297,0,0.657
5006,Coahuila de Zaragoza,Castaños,0.959557814,0.034331228,0.743
5007,Coahuila de Zaragoza,Cuatro Ciénegas,0.952103814,0.078647267,0.683
5008,Coahuila de Zaragoza,Escobedo,0.944207417,0,0.65
5009,Coahuila de Zaragoza,Francisco I. Madero,0.914220378,0.016939104,0.699
5010,Coahuila de Zaragoza,Frontera,0.943379971,0.012134597,0.748
5011,Coahuila de Zaragoza,General Cepeda,0.95167255,0,0.636
5012,Coahuila de Zaragoza,Guerrero,0.900182593,6.695069994,0.649
5013,Coahuila de Zaragoza,Hidalgo,0.331988473,0.576368876,0.65
5014,Coahuila de Zaragoza,Jiménez,0.899494843,0.105241002,0.616
5015,Coahuila de Zaragoza,Juárez,0.876262626,0,0.664
5016,Coahuila de Zaragoza,Lamadrid,0.973356009,0,0.709
5017,Coahuila de Zaragoza,Matamoros,0.918791249,0.092954866,0.698
5018,Coahuila de Zaragoza,Monclova,0.927569121,0.079848372,0.788
5019,Coahuila de Zaragoza,Morelos,0.911200807,0,0.75
5020,Coahuila de Zaragoza,Múzquiz,0.928365002,0.125650942,0.722
